단축코드,한글종목명
139220,TIGER 200 건설
139230,TIGER 200 중공업
139240,TIGER 200 철강소재
139250,TIGER 200 에너지화학
139260,TIGER 200 IT
139270,TIGER 200 금융
139280,TIGER 경기방어
139290,TIGER 200 경기소비재
139310,TIGER 금속선물(H)
139320,TIGER 금은선물(H)
139480,이마트
139660,KOSEF 미국달러선물인버스
139990,아주스틸
140570,RISE 수출주
140580,RISE 우량업종대표주
140700,KODEX 보험
140710,KODEX 운송
140910,에이리츠
140950,파워 코스피100
143210,핸즈코퍼레이션
143460,ACE 밸류대형
143850,TIGER 미국S&P500선물(H)
143860,TIGER 헬스케어
144600,KODEX 은선물(H)
145210,다이나믹디자인
145270,케이탑리츠
145670,ACE 인버스
145720,덴티움
145850,TREX 펀더멘탈 200
145990,삼양사
145995,삼양사우
147970,TIGER 모멘텀
148020,RISE 200
148070,KOSEF 국고채10년
150460,TIGER 중국소비테마
152100,PLUS 200
152380,KODEX 국채선물10년
152500,ACE 레버리지
152550,한국ANKOR유전
152870,파워 200
153130,KODEX 단기채권
153270,KOSEF 코스피100
155660,DSR
156080,KODEX MSCI Korea
157450,TIGER 단기통안채
157490,TIGER 소프트웨어
157500,TIGER 증권
159800,마이티 코스피100
160580,TIGER 구리실물
161000,애경케미칼
161390,한국타이어앤테크놀로지
161510,PLUS 고배당주
161890,한국콜마
163560,동일고무벨트
166400,TIGER 200커버드콜OTM
167860,KOSEF 국고채10년레버리지
168490,한국패러랠
168580,ACE 중국본토CSI300
169950,KODEX 차이나A50
170900,동아에스티
174350,TIGER 로우볼
174360,RISE 중국본토대형주CSI100
175330,JB금융지주
176950,KODEX 국채선물10년인버스
178920,PI첨단소재
180640,한진칼
18064K,한진칼우
181480,ACE 미국부동산리츠(합성 H)
181710,NHN
182480,TIGER 미국MSCI리츠(합성 H)
182490,TIGER 단기선진하이일드(합성 H)
183190,아세아시멘트
183700,RISE 채권혼합
183710,RISE 주식혼합
185680,KODEX 미국S&P바이오(합성)
185750,종근당
189400,PLUS 글로벌MSCI(합성 H)
190620,ACE 단기통안채
192080,더블유게임즈
192090,TIGER 차이나CSI300
192400,쿠쿠홀딩스
192650,드림텍
192720,파워 고배당저변동성
192820,코스맥스
194370,제이에스코퍼레이션
195870,해성디에스
195920,TIGER 일본TOPIX(합성 H)
195930,TIGER 유로스탁스50(합성 H)
195970,PLUS 선진국MSCI(합성 H)
195980,PLUS 신흥국MSCI(합성 H)
196030,ACE 일본TOPIX레버리지(H)
196230,RISE 단기통안채
200030,KODEX 미국S&P500산업재(합성)
200250,KOSEF 인도Nifty50(합성)
200880,서연이화
203780,TIGER 미국나스닥바이오
204210,스타에스엠리츠
204320,HL만도
204450,KODEX 차이나H레버리지(H)
204480,TIGER 차이나CSI300레버리지(합성)
205720,ACE 일본TOPIX인버스(합성 H)
207940,삼성바이오로직스
210540,디와이파워
210780,TIGER 코스피고배당
210980,SK디앤디
211560,TIGER 배당성장
211900,KODEX 배당성장
213500,한솔제지
213610,KODEX 삼성그룹밸류
213630,PLUS 미국다우존스고배당주(합성 H)
214320,이노션
214330,금호에이치티
214390,경보제약
214420,토니모리
214980,KODEX 단기채권PLUS
215620,HK S&P코리아로우볼
217770,TIGER 원유선물인버스(H)
217780,TIGER 차이나CSI300인버스(합성)
218420,KODEX 미국S&P500에너지(합성)
219390,RISE 미국S&P원유생산기업(합성 H)
219480,KODEX 미국S&P500선물(H)
219900,ACE 중국본토CSI300레버리지(합성)
220130,SOL 차이나강소기업CSI500(합성 H)
223190,KODEX 200가치저변동
225030,TIGER 미국S&P500선물인버스(H)
225040,TIGER 미국S&P500레버리지(합성 H)
225050,TIGER 유로스탁스레버리지(합성 H)
225060,TIGER 이머징마켓MSCI레버리지(합성 H)
225130,ACE 골드선물 레버리지(합성 H)
225800,KOSEF 미국달러선물레버리지
226320,잇츠한불
226380,ACE Fn성장소비주도주
226490,KODEX 코스피
226980,KODEX 200 중소형
227540,TIGER 200 헬스케어
227550,TIGER 200 산업재
227560,TIGER 200 생활소비재
227570,TIGER 우량가치
227830,PLUS 코스피
227840,현대코퍼레이션홀딩스
228790,TIGER 화장품
228800,TIGER 여행레저
228810,TIGER 미디어컨텐츠
228820,TIGER KTOP30
229200,KODEX 코스닥150
229640,LS에코에너지
229720,KODEX KTOP30
230480,KOSEF 미국달러선물인버스2X
232080,TIGER 코스닥150
233160,TIGER 코스닥150 레버리지
233740,KODEX 코스닥150레버리지
234080,JW생명과학
234310,RISE V&S셀렉트밸류
236350,TIGER 인도니프티50레버리지(합성)
237350,KODEX 코스피100
237370,KODEX 배당성장채권혼합
237440,TIGER 경기방어채권혼합
238670,PLUS 스마트베타Quality채권혼합
238720,ACE 일본Nikkei225(H)
239660,PLUS 우량회사채50
241180,TIGER 일본니케이225
241390,RISE V&S셀렉트밸류채권혼합
241560,두산밥캣
241590,화승엔터프라이즈
243880,TIGER 200IT레버리지
243890,TIGER 200에너지화학레버리지
244580,KODEX 바이오
244620,KODEX 모멘텀Plus
244660,KODEX 퀄리티Plus
244670,KODEX 밸류Plus
244920,에이플러스에셋
245340,TIGER 미국다우존스30
245350,TIGER 유로스탁스배당30
245360,TIGER 차이나HSCEI
245710,ACE 베트남VN30(합성)
248070,솔루엠
248170,샘표식품
248270,TIGER S&P글로벌헬스케어(합성)
249420,일동제약
250730,RISE 차이나HSCEI(H)
250780,TIGER 코스닥150선물인버스
251270,넷마블
251340,KODEX 코스닥150선물인버스
251350,KODEX 선진국MSCI World
251590,PLUS 고배당저변동50
251600,PLUS 고배당주채권혼합
252000,TIGER 200동일가중
252400,RISE 200선물레버리지
252410,RISE 200선물인버스
252420,RISE 200선물인버스2X
252650,KODEX 200동일가중
252670,KODEX 200선물인버스2X
252710,TIGER 200선물인버스2X
253150,PLUS 200선물레버리지
253160,PLUS 200선물인버스2X
253230,KOSEF 200선물인버스2X
253240,KOSEF 200선물인버스
253250,KOSEF 200선물레버리지
253280,RISE 헬스케어
253290,RISE 헬스케어채권혼합
256440,ACE 인도네시아MSCI(합성)
256450,PLUS 심천차이넥스트(합성)
256750,KODEX 차이나심천ChiNext(합성)
259960,크래프톤
261060,TIGER 코스닥150IT
261070,TIGER 코스닥150바이오테크
261110,TIGER 미국달러선물레버리지
261120,TIGER 미국달러선물인버스2X
261140,TIGER 우선주
261220,KODEX WTI원유선물(H)
261240,KODEX 미국달러선물
261250,KODEX 미국달러선물레버리지
261260,KODEX 미국달러선물인버스2X
261270,KODEX 미국달러선물인버스
261920,ACE 필리핀MSCI(합성)
264900,크라운제과
26490K,크라운제과우
265690,ACE 러시아MSCI(합성)
266160,RISE 고배당
266360,KODEX 미디어&엔터테인먼트
266370,KODEX IT
266390,KODEX 경기소비재
266410,KODEX 필수소비재
266420,KODEX 헬스케어
266550,PLUS 중형주저변동50
267250,HD현대
267260,HD현대일렉트릭
267270,HD현대건설기계
267290,경동도시가스
267440,RISE 미국장기국채선물(H)
267450,RISE 미국장기국채선물인버스(H)
267490,RISE 미국장기국채선물레버리지(합성 H)
267770,TIGER 200선물레버리지
267850,아시아나IDT
268280,미원에스씨
269370,TIGER S&P글로벌인프라(합성)
269420,KODEX S&P글로벌인프라(합성)
269530,PLUS S&P글로벌인프라
269540,PLUS 미국S&P500(H)
270800,RISE KQ고배당
270810,RISE 코스닥150
271050,KODEX WTI원유선물인버스(H)
271060,KODEX 3대농산물선물(H)
271560,오리온
271940,일진하이솔루스
271980,제일약품
272210,한화시스템
272450,진에어
272550,삼양패키징
272560,RISE 단기국공채액티브
272570,RISE 중장기국공채액티브
272580,TIGER 단기채권액티브
272910,ACE 중장기국공채액티브
273130,KODEX 종합채권(AA-이상)액티브
273140,KODEX 단기변동금리부채권액티브
275280,KODEX MSCI모멘텀
275290,KODEX MSCI밸류
275300,KODEX MSCI퀄리티
275750,RISE 코스닥150선물인버스
275980,TIGER 글로벌4차산업혁신기술(합성 H)
276000,TIGER 글로벌자원생산기업(합성 H)
276650,RISE 글로벌테크놀로지(합성 H)
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H)
276990,KODEX 글로벌로봇(합성)
277540,ACE 아시아TOP50S&P
277630,TIGER 코스피
277640,TIGER 코스피대형주
277650,TIGER 코스피중형주
278240,RISE 코스닥150선물레버리지
278470,에이피알
278530,KODEX 200TR
278540,KODEX MSCI Korea TR
278620,PLUS 단기채권액티브
279530,KODEX 고배당
279540,KODEX 최소변동성
280320,ACE 미국IT인터넷S&P(합성 H)
280360,롯데웰푸드
280920,PLUS 주도업종
280930,KODEX 미국러셀2000(H)
280940,KODEX 골드선물인버스(H)
281820,케이씨텍
281990,RISE 중소형고배당
282000,RISE 국고채3년선물인버스
282330,BGF리테일
283580,KODEX 차이나CSI300
284430,KODEX 200미국채혼합
284740,쿠쿠홈시스
284980,RISE 200금융
285130,SK케미칼
28513K,SK케미칼우
285690,FOCUS ESG리더스
286940,롯데이노베이트
287180,PLUS 미국나스닥테크
289040,KODEX MSCI KOREA ESG유니버설
289250,TIGER MSCI KOREA ESG유니버설
289260,TIGER MSCI KOREA ESG리더스
289480,TIGER 200커버드콜
289670,PLUS 국채선물10년
290080,RISE 200고배당커버드콜ATM
290130,RISE ESG사회책임투자
291130,ACE 멕시코MSCI(합성)
291620,KOSEF 코스닥150선물인버스
291630,KOSEF 코스닥150선물레버리지
291680,RISE 차이나H선물인버스(H)
291890,KODEX MSCI EM선물(H)
292050,RISE KRX300
292150,TIGER TOP10
292160,TIGER KRX300
292190,KODEX KRX300
292500,SOL KRX300
292560,TIGER 일본엔선물
292730,FOCUS KRX300
292770,KODEX 국채선물3년인버스
293180,HANARO 200
293480,하나제약
293940,신한알파리츠
294400,KOSEF 200TR
294870,HDC현대산업개발
295000,RISE 국채선물10년
295020,RISE 국채선물10년인버스
295040,SOL 200TR
298000,효성화학
298020,효성티앤씨
298040,효성중공업
298050,HS효성첨단소재
298340,PLUS 국채선물3년
298690,에어부산
298770,KODEX 한국대만IT프리미어
300610,TIGER K게임
300640,RISE 게임테마
300720,한일시멘트
300950,KODEX 게임산업
301400,PLUS 코스닥150
301410,PLUS 코스닥150선물인버스
302190,TIGER 중장기국채
302440,SK바이오사이언스
302450,RISE 코스피
304660,KODEX 미국30년국채울트라선물(H)
304670,KODEX 미국30년국채울트라선물인버스(H)
304760,HANARO KRX300
304770,HANARO 코스닥150
304780,HANARO 200선물레버리지
304940,KODEX 미국나스닥100선물(H)
305050,ACE 코스피
305080,TIGER 미국채10년선물
305540,TIGER 2차전지테마
305720,KODEX 2차전지산업
306200,세아제강
306520,HANARO 200선물인버스
306530,HANARO 코스닥150선물레버리지
306950,KODEX KRX300레버리지
307510,TIGER 의료기기
307520,TIGER 지주회사
307950,현대오토에버
308170,씨티알모빌리티
308620,KODEX 미국10년국채선물
309230,ACE 미국WideMoat동일가중
310080,RISE 중국MSCI China(H)
310960,TIGER 200TR
310970,TIGER MSCI Korea TR
314250,KODEX 미국빅테크10(H)
314700,HANARO 농업융복합산업
315270,TIGER 200커뮤니케이션서비스
315930,KODEX Top5PlusTR
315960,RISE 대형고배당10TR
316140,우리금융지주
316300,ACE 싱가포르리츠
316670,KOSEF 코스닥150
317400,자이에스앤디
319640,TIGER 골드선물(H)
321410,KODEX 멀티에셋하이인컴(H)
322000,HD현대에너지솔루션
322400,HANARO e커머스
322410,HANARO 고배당
323410,카카오뱅크
325010,KODEX 성장주
325020,KODEX 배당가치
326030,SK바이오팜
326230,RISE 내수주플러스
326240,RISE IT플러스
328370,PLUS 코스피TR
329180,HD현대중공업
329200,TIGER 리츠부동산인프라
329650,KODEX TRF3070
329660,KODEX TRF5050
329670,KODEX TRF7030
329750,TIGER 미국달러단기채권액티브
330590,롯데리츠
332500,ACE 200TR
332610,PLUS 미국단기회사채(AAA~A)
332620,PLUS 미국장기우량회사채
332930,HANARO 200TR
332940,HANARO MSCI Korea TR
334690,RISE 팔라듐선물(H)
334700,RISE 팔라듐선물인버스(H)
334890,이지스밸류리츠
336160,RISE 금융채액티브
336260,두산퓨얼셀
33626K,두산퓨얼셀1우
33626L,두산퓨얼셀2우B
336370,솔루스첨단소재
33637K,솔루스첨단소재1우
33637L,솔루스첨단소재2우B
337120,KODEX 멀티팩터
337140,KODEX 코스피대형주
337150,KODEX 200exTOP
337160,KODEX 200ESG
338100,NH프라임리츠
339770,교촌에프앤비
341850,TIGER 리츠부동산인프라채권TR KIS
344820,KCC글라스
346000,HANARO KAP초장기국고채
348950,제이알글로벌리츠
350520,이지스레지던스리츠
352540,KODEX 일본부동산리츠(H)
352560,KODEX 미국부동산리츠(H)
352820,하이브
353200,대덕전자
35320K,대덕전자1우
354240,RISE 미국고정배당우선증권 TR
354350,HANARO 글로벌럭셔리S&P(합성)
354500,ACE 코스닥150
356540,ACE 종합채권(AA-이상)KIS액티브
357120,코람코라이프인프라리츠
357250,미래에셋맵스리츠
357430,마스턴프리미어리츠
357870,TIGER CD금리투자KIS(합성)
359210,KODEX 코스피TR
360140,KODEX 200롱코스닥150숏선물
360150,KODEX 코스닥150롱코스피200숏선물
360200,ACE 미국S&P500
360750,TIGER 미국S&P500
361580,RISE 200TR
361610,SK아이이테크놀로지
363280,티와이홀딩스
36328K,티와이홀딩스우
363510,SOL KIS단기통안채
363570,KODEX 장기종합채권(AA-이상)액티브
363580,KODEX 200IT TR
364690,KODEX 혁신기술테마액티브
364960,TIGER BBIG
364970,TIGER 바이오TOP10
364980,TIGER 2차전지TOP10
364990,TIGER 게임TOP10
365000,TIGER 인터넷TOP10
365040,TIGER AI코리아그로스액티브
365550,ESR켄달스퀘어리츠
365780,ACE 국고채10년
367380,ACE 미국나스닥100
367740,HANARO Fn5G산업
367760,RISE 5G테크
367770,RISE 수소경제테마
368190,HANARO Fn K-뉴딜디지털플러스
368590,RISE 미국나스닥100
368680,KODEX K-뉴딜디지털플러스
371130,ACE 베트남VN30선물블룸버그레버리지(H)
371150,RISE 차이나항셍테크
371160,TIGER 차이나항셍테크
371450,TIGER 글로벌클라우드컴퓨팅INDXX
371460,TIGER 차이나전기차SOLACTIVE
371470,TIGER 차이나바이오테크SOLACTIVE
371870,ACE 차이나항셍테크
372330,KODEX 차이나항셍테크
372910,한컴라이프케어
373220,LG에너지솔루션
373490,KODEX K-이노베이션액티브
373530,PLUS 신흥국MSCI인버스(합성 H)
373790,KOSEF 미국방어배당성장나스닥
375270,RISE 글로벌데이터센터리츠(합성)
375500,DL이앤씨
37550K,DL이앤씨우
37550L,DL이앤씨2우(전환)
375760,HANARO 탄소효율그린뉴딜
375770,KODEX 탄소효율그린뉴딜
376410,TIGER 탄소효율그린뉴딜
377190,디앤디플랫폼리츠
377300,카카오페이
377740,바이오노트
377990,TIGER Fn신재생에너지
378850,화승알앤에이
379780,RISE 미국S&P500
379790,RISE 유로스탁스50(H)
379800,KODEX 미국S&P500TR
379810,KODEX 미국나스닥100TR
380340,ACE Fn5G플러스
381170,TIGER 미국테크TOP10 INDXX
381180,TIGER 미국필라델피아반도체나스닥
381560,HANARO Fn전기&수소차
381570,HANARO Fn친환경에너지
381970,케이카
383220,F&F
383800,LX홀딩스
38380K,LX홀딩스1우
385510,KODEX K-신재생에너지액티브
385520,KODEX K-미래차액티브
385540,RISE 종합채권(A-이상)액티브
385550,RISE 단기종합채권(AA-이상)액티브
385560,RISE KIS국고채30년Enhanced
385590,ACE ESG액티브
385600,ACE 2차전지&친환경차액티브
385710,TIMEFOLIO K이노베이션액티브
385720,TIMEFOLIO 코스피액티브
387270,TIGER 글로벌이노베이션액티브
387280,TIGER 퓨처모빌리티액티브
388280,RISE 컨택트대표
388420,RISE 비메모리반도체액티브
390390,KODEX 미국반도체MV
390400,KODEX 미국스마트모빌리티S&P
390950,HANARO 단기채권액티브
391600,ACE 미국친환경그린테마INDXX
391670,HK 베스트일레븐액티브
391680,HK 하이볼액티브
394350,KOSEF 글로벌퓨처모빌리티
394660,TIGER 글로벌자율주행&전기차SOLACTIVE
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성)
395150,KODEX 웹툰&드라마
395160,KODEX 시스템반도체
395170,KODEX Top10동일가중
395270,HANARO Fn K-반도체
395280,HANARO Fn K-게임
395290,HANARO Fn K-POP&미디어
395400,SK리츠
395750,PLUS ESG가치주액티브
395760,PLUS ESG성장주액티브
396500,TIGER Fn반도체TOP10
396510,TIGER 차이나클린에너지SOLACTIVE
396520,TIGER 차이나반도체FACTSET
396690,미래에셋글로벌리츠
397410,RISE 국채선물5년추종인버스
397420,RISE 국채선물5년추종
399110,SOL 미국S&P500ESG
399580,RISE 글로벌클린에너지
400570,KODEX 유럽탄소배출권선물ICE(H)
400580,SOL 유럽탄소배출권선물S&P(H)
400590,SOL 글로벌탄소배출권선물ICE(합성)
400760,NH올원리츠
400970,TIGER Fn메타버스
401170,RISE 메타버스
401470,KODEX K-메타버스액티브
401590,HANARO 글로벌탄소배출권선물ICE(합성)
402340,SK스퀘어
402460,HANARO Fn K-메타버스MZ
402970,ACE 미국배당다우존스
403550,쏘카
403790,마이다스 코스피액티브
404120,TIMEFOLIO K신재생에너지액티브
404260,KODEX 기후변화솔루션
404540,TIGER KRX기후변화솔루션
404650,SOL KRX기후변화솔루션
404990,신한서부티엔디리츠
407160,KCGI 테크미디어텔레콤액티브
407170,KCGI 스마트커머스액티브
407300,HANARO Fn골프테마
407310,HANARO 200 TOP10
407820,에셋플러스 코리아플랫폼액티브
407830,에셋플러스 글로벌플랫폼액티브
409810,KODEX 미국나스닥100선물인버스(H)
409820,KODEX 미국나스닥100레버리지(합성 H)
410870,TIMEFOLIO K컬처액티브
411050,ACE 글로벌메타버스테크액티브
411060,ACE KRX금현물
411420,KODEX 미국메타버스나스닥액티브
411540,SOL 200 Top10
411720,RISE 글로벌메타버스
411860,KOSEF 독일DAX
412560,TIGER BBIG레버리지
412570,TIGER 2차전지TOP10레버리지
412770,TIGER 글로벌메타버스액티브
413220,SOL 차이나태양광CSI(합성)
413930,WON AI ESG액티브
414270,ACE G2전기차&자율주행액티브
414780,TIGER 차이나과창판STAR50(합성)
415340,KODEX 차이나과창판STAR50(합성)
415760,SOL 차이나육성산업액티브(합성)
415920,PLUS 글로벌희토류&전략자원생산기업
416090,ACE 중국과창판STAR50
417310,코람코더원리츠
417450,RISE 글로벌수소경제
417630,TIGER KEDI혁신기업ESG30
418660,TIGER 미국나스닥100레버리지(합성)
418670,TIGER 글로벌사이버보안INDXX
419170,HANARO 미국메타버스iSelect
419420,KODEX 미국클린에너지나스닥
419430,KODEX 차이나2차전지MSCI(합성)
419650,PLUS 글로벌수소&차세대연료전지
419890,히어로즈 단기채권ESG액티브
421320,PLUS 우주항공&UAM
422260,VITA MZ소비액티브
422420,RISE 2차전지액티브
423160,KODEX KOFR금리액티브(합성)
423170,SOL 한국형글로벌반도체액티브
423920,TIGER 미국필라델피아반도체레버리지(합성)
424460,HANARO 글로벌워터MSCI(합성)
426020,TIMEFOLIO 미국S&P500액티브
426030,TIMEFOLIO 미국나스닥100액티브
426150,WON 대한민국국고채액티브
426330,KOSEF 미국ETF산업STOXX
426410,PLUS 미국대체투자Top10
427110,RISE 창업투자회사
427120,RISE 플랫폼테마
428510,KODEX 차이나메타버스액티브
428560,KODEX 미국ETF산업Top10 Indxx
429000,TIGER 미국S&P500배당귀족
429010,TIGER 미국나스닥넥스트100
429740,PLUS K리츠
429760,PLUS 미국S&P500
429870,히어로즈 리츠이지스액티브
429980,SOL 한국형글로벌전기차&2차전지액티브
429990,SOL 한국형글로벌플랫폼&메타버스액티브
430500,KOSEF 물가채KIS
432320,KB스타리츠
432600,RISE 국채선물3년
432840,HANARO 미국S&P500
432850,HANARO 글로벌백신치료제MSCI
433220,에셋플러스 글로벌대장장이액티브
433250,UNICORN R&D 액티브
433330,SOL 미국S&P500
433500,ACE 원자력테마딥서치
433850,PLUS TDF2030액티브
433860,PLUS TDF2040액티브
433870,PLUS TDF2050액티브
433880,PLUS TDF2060액티브
433970,KODEX TDF2030액티브
433980,KODEX TDF2040액티브
434060,KODEX TDF2050액티브
434730,HANARO 원자력iSelect
434960,DAISHIN343 K200
435040,ACE 글로벌브랜드TOP10블룸버그
435420,TIGER 미국나스닥100TR채권혼합Fn
435530,히어로즈 TDF2030액티브
435540,히어로즈 TDF2040액티브
435550,히어로즈 TDF2050액티브
436140,SOL 종합채권(AA-이상)액티브
437070,KODEX 아시아달러채권ESG플러스액티브
437080,KODEX 미국종합채권ESG액티브(H)
437350,RISE 미국단기투자등급회사채액티브
437370,RISE 글로벌농업경제
437550,히어로즈 글로벌리츠이지스액티브
438080,ACE 미국S&P500채권혼합액티브
438100,ACE 미국나스닥100채권혼합액티브
438210,PLUS 글로벌AI
438320,TIGER 차이나항셍테크레버리지(합성 H)
438330,TIGER 투자등급회사채액티브
438560,SOL 국고채3년
438570,SOL 국고채10년
438740,마이다스 중소형액티브
438900,HANARO Fn K-푸드
439860,KODEX ESG종합채권(A-이상)액티브
439870,KODEX 국고채30년액티브
440340,TIGER 글로벌멀티에셋TIF액티브
440640,ACE 단기채권알파액티브
440650,ACE 미국달러단기채권액티브
440910,WON 미국우주항공방산
441330,KOSEF 차이나A50커넥트MSCI
441540,HANARO Fn조선해운
441640,KODEX 미국배당커버드콜액티브
441680,TIGER 미국나스닥100커버드콜(합성)
441800,TIMEFOLIO Korea플러스배당액티브
442090,에셋플러스 코리아대장장이액티브
442260,마이티 다이나믹퀀트액티브
442320,RISE 글로벌원자력
442550,RISE TDF2030액티브
442560,RISE TDF2040액티브
442570,RISE TDF2050액티브
442580,PLUS 글로벌HBM반도체
443060,HD현대마린솔루션
444200,SOL KEDI메가테크액티브
444490,WON 미국S&P500
445150,KODEX K-친환경조선해운액티브
445290,KODEX K-로봇액티브
445690,BNK 주주가치액티브
445910,TIGER MKF배당귀족
446070,유니드비티플러스
446690,KODEX 아시아AI반도체exChina액티브
446700,RISE 배터리 리사이클링
446720,SOL 미국배당다우존스
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE
447430,ACE 주주환원가치주액티브
447620,SOL 미국TOP5채권혼합40 Solactive
447660,PLUS 애플채권혼합
447770,TIGER 테슬라채권혼합Fn
448100,WON 200
448290,TIGER 미국S&P500TR(H)
448300,TIGER 미국나스닥100TR(H)
448330,KODEX 삼성전자채권혼합
448490,HANARO 32-10 국고채액티브
448510,HANARO 글로벌신재생에너지MSCI(합성)
448540,ACE 엔비디아채권혼합블룸버그
448570,FOCUS AI코리아액티브
448600,RISE 25-11 회사채(AA-이상)액티브
448630,RISE 삼성그룹Top3채권혼합
448730,삼성FN리츠
448880,ACE 24-12 회사채(AA-이상)액티브
449170,TIGER KOFR금리액티브(합성)
449180,KODEX 미국S&P500(H)
449190,KODEX 미국나스닥100(H)
449450,PLUS K방산
449580,RISE 미국빅데이터Top3채권혼합
449680,TIGER 한중전기차(합성)
449690,TIGER 한중반도체(합성)
449770,KOSEF 미국S&P500
449780,KOSEF 미국S&P500(H)
450080,에코프로머티
450120,KOSEF SK그룹대표주
450140,코오롱모빌리티그룹
45014K,코오롱모빌리티그룹우
450180,KODEX 한중전기차(합성)
450190,KODEX 한중반도체(합성)
450910,SOL 코스닥150
451000,PLUS 종합채권(AA-이상)액티브
451060,1Q K200액티브
451150,에셋플러스 글로벌영에이지액티브
451530,TIGER 국고채30년스트립액티브
451540,TIGER 종합채권(AA-이상)액티브
451600,PLUS 국고채30년액티브
451670,RISE 국채30년레버리지(합성)
451800,한화리츠
452250,ACE 미국30년국채선물레버리지(합성 H)
452260,한화갤러리아
45226K,한화갤러리아우
452360,SOL 미국배당다우존스(H)
452440,VITA 밸류알파액티브
453010,PLUS KOFR금리
453060,HANARO KOFR금리액티브(합성)
453080,KOSEF 미국나스닥100(H)
453330,RISE 미국S&P500(H)
453340,현대그린푸드
453540,TIGER 25-10 회사채(A+이상)액티브
453630,KODEX 미국S&P500필수소비재
453640,KODEX 미국S&P500헬스케어
453650,KODEX 미국S&P500금융
453660,KODEX 미국S&P500경기소비재
453810,KODEX 인도Nifty50
453820,KODEX 인도Nifty50레버리지(합성)
453850,ACE 미국30년국채액티브(H)
453870,TIGER 인도니프티50
453950,TIGER TSMC파운드리밸류체인
454180,KOSEF 차이나내수소비TOP CSI
454320,HANARO CAPEX설비투자iSelect
454780,히어로즈 종합채권(AA-이상)액티브
454910,두산로보틱스
455030,KODEX 미국달러SOFR금리액티브(합성)
455660,ACE 미국하이일드액티브(H)
455850,SOL AI반도체소부장
455860,SOL 2차전지소부장Fn
455890,RISE 머니마켓액티브
455960,RISE 미국달러SOFR금리액티브(합성)
456040,OCI
456100,HANARO 유로존국채25년플러스(합성 H)
456200,PLUS 미국달러SOFR금리액티브(합성)
456250,KODEX 유럽명품TOP10 STOXX
456600,TIMEFOLIO 글로벌AI인공지능액티브
456610,TIGER 미국달러SOFR금리액티브(합성)
456680,TIGER 차이나전기차레버리지(합성)
456880,ACE 미국달러SOFR금리(합성)
457190,이수스페셜티케미컬
457480,ACE 테슬라밸류체인액티브
457690,KODEX 33-06 국고채액티브
457700,KODEX 53-09 국고채액티브
457930,BNK 미래전략기술액티브
457990,PLUS 태양광&ESS
458030,WON 단기국공채액티브
458210,히어로즈 CD금리액티브(합성)
458250,TIGER 미국30년국채스트립액티브(합성 H)
458260,TIGER 미국투자등급회사채액티브(H)
458730,TIGER 미국배당다우존스
458750,TIGER 미국배당다우존스타겟커버드콜1호
458760,TIGER 미국배당다우존스타겟커버드콜2호
459370,SOL 유럽탄소배출권선물인버스ICE(H)
459560,KODEX 테슬라밸류체인FactSet
459580,KODEX CD금리액티브(합성)
459750,RISE 글로벌주식분산액티브
459790,히어로즈 미국성장기업30액티브
460270,히어로즈 미국달러SOFR금리액티브(합성)
460280,KOSEF Fn유전자혁신기술
460660,RISE 미국S&P배당킹
460850,동국씨엠
460860,동국제강
460960,ACE 글로벌인컴TOP10 SOLACTIVE
461260,ACE 25-06 회사채(AA-이상)액티브
461270,ACE 26-06 회사채(AA-이상)액티브
461340,HANARO 글로벌생성형AI액티브
461450,KODEX 코스닥글로벌
461460,PLUS 국고채10년액티브
461490,RISE 글로벌자산배분액티브
461500,HANARO 종합채권(AA-이상)액티브
461580,TIGER 코스닥글로벌
461600,SOL 미국30년국채액티브(H)
461900,PLUS 미국테크TOP10
461910,PLUS 미국테크TOP10레버리지(합성)
461950,KODEX 2차전지핵심소재10
462010,TIGER 2차전지소재Fn
462330,KODEX 2차전지산업레버리지
462340,에셋플러스 글로벌다이나믹시니어액티브
462520,조선내화
462540,SOL 25-09 회사채(AA-이상)액티브
462870,시프트업
462900,KoAct 바이오헬스케어액티브
463050,TIMEFOLIO K바이오액티브
463250,TIGER 우주방산
463290,1Q 단기금융채액티브
463300,RISE 중국본토CSI300
463640,KODEX 미국S&P500유틸리티
463680,KODEX 미국S&P500테크놀로지
463690,KODEX 미국S&P500커뮤니케이션
464060,HANARO 글로벌반도체TOP10 SOLACTIVE
464240,히어로즈 26-09 회사채(AA-이상)액티브
464310,TIGER 글로벌AI&로보틱스 INDXX
464470,PLUS 미국채30년액티브
464540,RISE 25-03 회사채(AA-이상)액티브
464600,SOL 자동차소부장Fn
464610,SOL 의료기기소부장Fn
464920,PLUS 일본반도체소부장
464930,TIGER 글로벌혁신블루칩TOP10
465330,RISE 2차전지TOP10
465350,RISE 2차전지TOP10인버스(합성)
465580,ACE 미국빅테크TOP7 Plus
465610,ACE 미국빅테크TOP7 Plus레버리지(합성)
465620,ACE 미국빅테크TOP7 Plus인버스(합성)
465660,TIGER 일본반도체FACTSET
465670,TIGER 미국캐시카우100
465680,KODEX 24-12 은행채(AA+이상)액티브
465770,STX그린로지스
465780,마이티 26-09 특수채(AAA)액티브
466400,1Q 25-08 회사채(A+이상)액티브
